type_appareil,airline_iata,iata_departure,iata_arrival,departure_country,arrival_country,departure_continent,arrival_continent,distance_km,co2,seats,n_flights
ceo,G4,ABE,AVL,US,US,NA,NA,850.0052181627976,10955.546532904087,186.0,1.0
ceo,G4,ABE,BNA,US,US,NA,NA,1101.5750246337288,863672.5360779508,11799.0,66.0
ceo,UA,ABE,DEN,US,US,NA,NA,2476.779362200853,12825.542159371582,75.0,0.5
ceo,DL,ABE,DTW,US,US,NA,NA,683.2465987361404,4786.014829085446,78.5,0.5
ceo,DL,ABE,EWR,US,US,NA,NA,107.81967522188336,2486.742458333585,78.5,0.5
ceo,UA,ABE,EWR,US,US,NA,NA,107.81967522188336,7460.227375000755,225.0,1.5
ceo,G4,ABE,FLL,US,US,NA,NA,1674.661361339687,951997.9765684466,9324.0,52.5
ceo,UA,ABE,FLL,US,US,NA,NA,1674.661361339687,9066.647395889968,75.0,0.5
ceo,UA,ABE,IAH,US,US,NA,NA,2154.055340948785,11281.400972072404,75.0,0.5
ceo,UA,ABE,LGA,US,US,NA,NA,133.4047455806769,2586.084010723479,75.0,0.5
ceo,UA,ABE,MCO,US,US,NA,NA,1457.9477604124222,8096.447459005555,75.0,0.5
ceo,G4,ABE,MYR,US,US,NA,NA,833.1995491921562,924689.5386467013,15282.0,85.5
ceo,UA,ABE,PBI,US,US,NA,NA,1607.6613576213622,8764.635687331423,75.0,0.5
ceo,G4,ABE,PGD,US,US,NA,NA,1638.09615556625,3168968.197450649,32613.0,178.0
ceo,UA,ABE,PHL,US,US,NA,NA,88.28036028940677,2411.0564871910747,75.0,0.5
ceo,G4,ABE,PIE,US,US,NA,NA,1561.452665267938,1951091.4198368571,20371.5,114.0
ceo,G4,ABE,SAV,US,US,NA,NA,1077.1924428919256,643859.4517343546,8931.0,50.0
ceo,G4,ABE,SFB,US,US,NA,NA,1419.314758439521,3685366.419720883,42669.0,232.5
ceo,UA,ABE,SFO,US,US,NA,NA,4023.570619754051,20820.648689427584,75.0,0.5
ceo,G4,ABE,TYS,US,US,NA,NA,920.8322879149142,5775.039990398081,88.5,0.5
ceo,DL,ABI,ATL,US,US,NA,NA,1430.2839779509293,7973.989168284069,78.5,0.5
ceo,UA,ABI,AUS,US,US,NA,NA,311.78773533344264,3286.184153044334,75.0,0.5
ceo,AA,ABI,DCA,US,US,NA,NA,2165.13382469793,11333.698930630831,75.0,0.5
ceo,UA,ABI,DEN,US,US,NA,NA,940.4689356819908,11715.64304123332,150.0,1.0
ceo,AA,ABI,DFW,US,US,NA,NA,253.80891556866112,6114.400406819334,150.0,1.0
ceo,UA,ABI,DFW,US,US,NA,NA,253.80891556866112,3057.200203409667,75.0,0.5
ceo,AA,ABI,GEG,US,US,NA,NA,2263.6485758312474,11800.973712882562,75.0,0.5
ceo,DL,ABI,PHX,US,US,NA,NA,1157.604188673081,6783.754362836688,78.5,0.5
ceo,DL,ABQ,ATL,US,US,NA,NA,2042.7385698392768,21517.41941018303,157.0,1.0
ceo,G4,ABQ,AUS,US,US,NA,NA,996.0712190356412,24372.32673718894,354.0,2.0
ceo,G4,ABQ,BOI,US,US,NA,NA,1256.5155053476317,7211.966247387801,93.0,0.5
ceo,AS,ABQ,BOS,US,US,NA,NA,3176.7697891984026,16321.88546208674,74.5,0.5
ceo,B6,ABQ,BOS,US,US,NA,NA,3176.7697891984026,130575.08369669392,600.0,4.0
ceo,B6,ABQ,BUR,US,US,NA,NA,1080.7585676787444,64538.45465907232,756.0,5.0
neo,Y4,ABQ,CUU,US,MX,NA,NA,705.3434035792748,16839.446303204706,366.0,2.0
ceo,Y4,ABQ,CUU,US,MX,NA,NA,705.3434035792748,19508.08551077648,358.0,2.0
ceo,G4,ABQ,CYS,US,US,NA,NA,696.8239181335705,4841.909779476222,93.0,0.5
neo,F9,ABQ,DEN,US,US,NA,NA,561.8272747336479,255737.1596883773,6510.0,35.0
ceo,F9,ABQ,DEN,US,US,NA,NA,561.8272747336479,115817.17528008913,2445.0,13.5
ceo,NK,ABQ,DEN,US,US,NA,NA,561.8272747336479,8579.050020747341,182.0,1.0
ceo,UA,ABQ,DEN,US,US,NA,NA,561.8272747336479,952274.552302955,16650.0,111.0
